portfolio,gini,gini_sd,dev,cal,cal_sd,glm_fixed_gini,gbm_tuned_gini
Australian (ausprivauto),0.09297147797106073,0.01550062646133651,0.7992757001488205,0.2493037854298478,0.06631469690314189,0.0995,0.0858
Swedish Wasa motorcycle,0.5560390664998287,0.05745732293258487,0.13090568922823342,1.8096393221260516,1.0181300772397262,0.5528,0.5564
