regime,model,gini,gini_sd,cal,cal_sd
capped,GLM,0.5527661901702794,0.06355500148195845,1.4048966555692612,1.4668362539421933
capped,GBM_untuned,0.533635729025277,0.03917503108028705,1.8734174127206622,1.7574863308050526
capped,GBM_tuned,0.5525762229784078,0.06105992696042468,1.3452814462766978,1.2493762231611423
uncapped,GLM,0.5678829071721234,0.06915502107499946,1.5472996867722613,0.8046246415154706
uncapped,GBM_untuned,0.5454689694771572,0.04776398154791171,1.6371144289890875,0.5622983528719694
uncapped,GBM_tuned,0.5534995260021098,0.06439577737548738,1.3525629176715035,1.3342644031425497
