bin,exposure,mean_pred_freq,mean_obs_freq,pred_over_obs
1,3589.12649524665,0.042479184773054804,0.033991557600874134,1.2496980947987626
2,3588.072353469571,0.05510533600189088,0.04849400537638172,1.1363329461898628
3,3588.639212515907,0.06290843056449276,0.06381248892374826,0.9858325795701874
4,3588.220878808294,0.07008652424010527,0.05936089421305099,1.180685115499762
5,3589.338061980687,0.07697376922398226,0.07884462124022765,0.9762716595397778
6,3587.9163582603487,0.08334396060030633,0.07608873026582143,1.095352232967198
7,3589.457302193278,0.09076298866010787,0.0905429352234986,1.0024303766612612
8,3588.15765326746,0.10207661496484055,0.10311698530388412,0.9899107762316982
9,3589.016327569429,0.1292219807922976,0.12677568405160677,1.0192962614163061
10,3588.4059690096565,0.30032666111344825,0.3059854457613197,0.9815063601022203
