bin,exposure,mean_pred_freq,mean_obs_freq,pred_over_obs
1,3588.688183995808,0.049469759403968964,0.045420496750572636,1.0891505585161896
2,3588.9117628565014,0.06048218561185394,0.05516992700940829,1.096289027200267
3,3588.295324500337,0.06747834313756938,0.06075308197503394,1.1106982714934386
4,3588.41533722584,0.07355295321037462,0.07217670633417528,1.019067742850822
5,3589.048961000075,0.07927281711647305,0.08330897774007652,0.9515519127338681
6,3588.3990508271577,0.08529426074626167,0.08360274198903474,1.0202328143429649
7,3588.569934875365,0.09241833788838524,0.09140131192995457,1.0111270389555247
8,3588.7459023879037,0.10319014923956539,0.1005922430339232,1.0258261087265554
9,3588.7205471966463,0.13164143954800403,0.13152319713740487,1.0008990232382782
10,3588.555607455648,0.2643553256904172,0.2630584845999679,1.004929858439736
